percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
92.36	-0.960	51.000	0.000	-0.912	-0.912	0.969	-1.380	3.006	-0.969	-0.714
93.06	-0.873	51.000	0.000	-0.839	-0.839	0.875	-1.363	2.933	-0.875	-0.732
93.75	-0.785	51.000	0.000	-0.777	-0.777	0.768	-1.291	2.872	-0.768	-0.804
94.44	-0.698	51.000	0.000	-0.723	-0.723	0.753	-1.430	2.817	-0.753	-0.664
95.14	-0.611	51.000	0.000	-0.616	-0.616	0.628	-1.494	2.711	-0.628	-0.600
95.83	-0.524	51.000	0.000	-0.524	-0.524	0.578	-1.625	2.618	-0.578	-0.469
96.53	-0.436	51.000	0.000	-0.444	-0.444	0.477	-1.676	2.538	-0.477	-0.419
97.22	-0.349	51.000	0.000	-0.360	-0.360	0.284	-1.695	2.455	-0.284	-0.399
97.92	-0.262	51.000	0.000	-0.249	-0.249	0.149	-1.818	2.343	-0.149	-0.276
98.61	-0.175	51.000	0.000	-0.182	-0.182	0.193	-1.915	2.276	-0.193	-0.179
99.31	-0.087	51.000	0.000	-0.056	-0.056	0.084	-2.041	2.150	-0.084	-0.053
100.00	0.000	51.000	0.000	0.022	0.014	0.123	-2.117	2.080	-0.123	0.022
