percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
86.81	-1.658	51.000	0.000	-1.657	-1.702	1.657	-1.624	-2.487	-1.657	-0.470
87.50	-1.571	51.000	0.000	-1.577	-1.520	1.577	-1.632	-2.668	-1.577	-0.463
88.19	-1.484	51.000	0.000	-1.500	-1.446	1.500	-1.568	-2.743	-1.500	-0.527
88.89	-1.396	51.000	0.000	-1.403	-1.408	1.403	-1.396	-2.781	-1.403	-0.699
89.58	-1.309	51.000	0.000	-1.270	-1.334	1.309	-1.231	-2.855	-1.309	-0.863
90.28	-1.222	51.000	0.000	-1.210	-1.218	1.215	-1.204	-2.971	-1.215	-0.890
90.97	-1.134	51.000	0.000	-1.181	-1.172	1.191	-1.273	-3.017	-1.191	-0.822
91.67	-1.047	51.000	0.000	-1.017	-1.015	1.020	-1.147	3.109	-1.020	-0.948
92.36	-0.960	51.000	0.000	-0.982	-0.980	0.985	-1.161	3.074	-0.985	-0.934
93.06	-0.873	51.000	0.000	-0.910	-0.910	0.921	-1.238	3.004	-0.921	-0.856
93.75	-0.785	51.000	0.000	-0.808	-0.808	0.841	-1.373	2.903	-0.841	-0.722
94.44	-0.698	51.000	0.000	-0.720	-0.720	0.688	-1.302	2.814	-0.688	-0.792
95.14	-0.611	51.000	0.000	-0.630	-0.630	0.640	-1.477	2.725	-0.640	-0.617
95.83	-0.524	51.000	0.000	-0.492	-0.492	0.513	-1.621	2.586	-0.513	-0.473
96.53	-0.436	51.000	0.000	-0.465	-0.465	0.484	-1.645	2.560	-0.484	-0.449
97.22	-0.349	51.000	0.000	-0.374	-0.374	0.320	-1.691	2.468	-0.320	-0.404
97.92	-0.262	51.000	0.000	-0.265	-0.265	0.166	-1.798	2.360	-0.166	-0.296
98.61	-0.175	51.000	0.000	-0.172	-0.172	0.191	-1.926	2.267	-0.191	-0.168
99.31	-0.087	51.000	0.000	-0.092	-0.092	0.212	-2.025	2.186	-0.212	-0.070
100.00	0.000	51.000	0.000	3.142	0.005	2.974	-2.083	2.089	-2.974	-0.011
