percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
92.36	-0.960	51.000	0.000	-0.962	-0.977	-0.962	0.976	-1.219	3.057	-0.976	-0.875
93.06	-0.873	51.000	0.000	-0.872	NaN	-0.872	0.877	-1.240	2.967	-0.877	-0.854
93.75	-0.785	51.000	0.000	-0.784	2.714	-0.784	0.791	-1.330	2.878	-0.791	-0.765
94.44	-0.698	51.000	0.000	-0.695	0.656	-0.695	0.706	-1.419	2.790	-0.706	-0.676
95.14	-0.611	51.000	0.000	-0.609	-1.644	-0.609	0.608	-1.485	2.703	-0.608	-0.609
95.83	-0.524	51.000	0.000	-0.527	-2.677	-0.527	0.543	-1.584	2.621	-0.543	-0.510
96.53	-0.436	51.000	0.000	-0.448	-2.326	-0.448	0.456	-1.652	2.543	-0.456	-0.443
97.22	-0.349	51.000	0.000	-0.336	-1.969	-0.336	0.342	-1.762	2.430	-0.342	-0.333
97.92	-0.262	51.000	0.000	-0.260	0.242	-0.260	0.270	-1.839	2.354	-0.270	-0.256
98.61	-0.175	51.000	0.000	-0.172	2.234	-0.172	0.193	-1.928	2.266	-0.193	-0.166
99.31	-0.087	51.000	0.000	-0.089	2.994	-0.089	0.123	-2.010	2.184	-0.123	-0.085
100.00	0.000	51.000	0.000	0.054	2.986	-0.003	0.104	-2.097	2.098	-0.104	0.003
