percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
71.53	2.705	51.000	0.000	2.663	2.707	2.714	-0.568	2.734	2.603	2.663	-2.734	1.586
72.22	2.793	51.000	0.000	2.771	2.796	2.777	-0.677	2.864	2.723	2.771	-2.864	1.466
72.92	2.880	51.000	0.000	2.889	2.897	2.890	-0.795	2.887	2.890	2.889	-2.887	1.299
73.61	2.967	51.000	0.000	2.916	3.007	2.960	-0.822	2.701	3.008	2.916	-2.701	1.181
74.31	3.054	51.000	0.000	3.059	0.091	3.063	-0.975	0.163	3.050	3.069	-0.163	1.139
75.00	3.142	51.000	0.000	3.124	3.049	-3.133	-1.055	0.297	3.098	-3.134	-0.297	1.091
75.69	-3.054	51.000	0.000	3.113	3.032	-3.051	-1.058	0.366	3.075	-3.131	-0.366	1.114
76.39	-2.967	51.000	0.000	-2.893	2.913	-2.967	-1.335	0.262	-2.932	-2.854	-0.262	0.838
77.08	-2.880	51.000	0.000	-2.882	2.920	-2.869	-1.298	2.858	-2.882	-2.890	-2.858	0.787
77.78	-2.793	51.000	0.000	-2.785	2.806	-2.786	-1.398	2.775	-2.785	-2.791	-2.775	0.691
78.47	-2.705	51.000	0.000	-2.693	2.700	-2.702	-1.513	2.716	-2.693	-2.675	-2.716	0.599
79.17	-2.618	51.000	0.000	-2.626	2.628	-2.616	-1.518	2.580	-2.626	-2.670	-2.580	0.531
79.86	-2.531	51.000	0.000	-2.550	2.545	-2.539	-1.612	2.529	-2.550	-2.576	-2.529	0.456
80.56	-2.443	51.000	0.000	-2.354	2.457	-2.456	-1.915	2.379	-2.354	-2.273	-2.379	0.259
81.25	-2.356	51.000	0.000	-2.342	2.367	-2.363	0.908	2.367	-2.318	1.186	-2.367	0.224
81.94	-2.269	51.000	0.000	-2.377	2.278	-2.255	-1.699	2.324	-2.377	-2.490	-2.324	0.282
82.64	-2.182	51.000	0.000	-2.220	2.187	-2.180	-1.954	2.218	-2.220	-2.234	-2.218	0.126
83.33	-2.094	51.000	0.000	-2.094	2.101	-2.080	-1.830	2.094	-2.133	-2.358	-2.094	0.039
84.03	-2.007	51.000	0.000	-2.040	2.011	-2.016	-1.978	2.037	-2.043	-2.211	-2.037	-0.051
84.72	-1.920	51.000	0.000	-1.962	1.929	-1.941	-1.857	1.951	-1.973	-2.332	-1.951	-0.121
85.42	-1.833	51.000	0.000	-1.897	1.840	-1.820	-1.929	1.864	-1.847	-2.260	-1.864	-0.248
86.11	-1.745	51.000	0.000	-1.711	1.745	-1.733	-1.625	1.711	-1.766	-2.563	-1.711	-0.328
86.81	-1.658	51.000	0.000	-1.669	1.670	-1.634	-1.906	1.669	-1.534	-2.283	-1.669	-0.560
87.50	-1.571	51.000	0.000	-1.649	1.580	-1.555	-1.660	1.649	-1.641	-2.529	-1.649	-0.454
88.19	-1.484	51.000	0.000	-1.365	1.491	-1.477	-1.308	1.365	-1.473	-2.881	-1.365	-0.622
88.89	-1.396	51.000	0.000	-1.360	1.410	-1.395	-1.371	1.360	-1.337	-2.818	-1.360	-0.757
89.58	-1.309	51.000	0.000	-1.215	1.314	-1.316	-1.302	1.275	-1.155	-2.886	-1.275	-0.940
90.28	-1.222	51.000	0.000	-1.280	1.237	-1.210	-1.191	1.280	-1.485	-2.998	-1.280	-0.609
90.97	-1.134	51.000	0.000	-1.049	1.131	-1.105	-1.033	1.064	-1.277	3.128	-1.064	-0.817
91.67	-1.047	51.000	0.000	-1.104	1.056	-1.049	-1.095	1.112	-1.230	-3.094	-1.112	-0.864
92.36	-0.960	51.000	0.000	-0.915	0.963	-0.953	-0.950	0.880	2.415	3.044	-0.880	1.774
93.06	-0.873	51.000	0.000	-0.885	0.883	-0.845	-0.885	0.994	-1.501	2.979	-0.994	-0.593
93.75	-0.785	51.000	0.000	-0.740	0.799	-0.780	-0.740	0.767	-1.411	2.834	-0.767	-0.683
94.44	-0.698	51.000	0.000	-0.731	0.709	-0.696	-0.731	0.717	-1.333	2.825	-0.717	-0.761
95.14	-0.611	51.000	0.000	-0.578	0.607	-0.604	-0.578	0.616	-1.562	2.672	-0.616	-0.533
95.83	-0.524	51.000	0.000	-0.523	0.534	-0.520	-0.523	0.403	-1.451	2.618	-0.403	-0.643
96.53	-0.436	51.000	0.000	-0.402	0.403	-0.435	-0.402	0.403	-1.693	2.496	-0.403	-0.402
97.22	-0.349	51.000	0.000	-0.319	0.305	-0.349	-0.319	0.335	-1.783	2.414	-0.335	-0.312
97.92	-0.262	51.000	0.000	-0.278	0.213	-0.250	-0.278	0.273	-1.815	2.372	-0.273	-0.280
98.61	-0.175	51.000	0.000	2.280	0.201	-0.183	-0.186	2.877	-1.838	2.280	-2.877	-0.256
99.31	-0.087	51.000	0.000	-0.080	3.028	-0.070	-0.080	0.225	-2.041	2.174	-0.225	-0.053
100.00	0.000	51.000	0.000	-0.045	0.155	0.002	-0.016	2.825	-2.020	2.110	-2.825	-0.075
